Code;Typ;Klasse;Bewerb;Leistung;Wind;Name;Vorname;Nation;YOB;RNAT;RORT;Datum;Geschlecht;Umgebung
WL;;MT11;100;0:11.39;1.2;Boettger;Marcel;GER;1993;UAE;Dubai;2026-02-12;Male;Outdoor
WL;;MT12;100;0:10.54;1.8;Malone;Noah;USA;2001;USA;Walnut;2026-04-18;Male;Outdoor
WL;;MT13;100;0:10.87;2.0;Perris;Chad;AUS;1992;AUS;Perth;2026-02-14;Male;Outdoor
WL;;MT33;100;0:22.37;-1.8;Aladwani;Mohammad;KUW;2006;UAE;Dubai;2026-02-10;Male;Outdoor
WL;;MT34;100;0:15.00;-1.8;Othman;Mohamad;UAE;2004;UAE;Dubai;2026-02-10;Male;Outdoor
WL;;MT35;100;0:12.10;1.7;Villa;Maximiliano;ARG;2007;ARG;Buenos Aires;2026-04-11;Male;Outdoor
WL;;MT36;100;0:12.00;0.8;Acosta Soto;Omar Jose;COL;2000;COL;Cali;2026-02-26;Male;Outdoor
WL;;MT37;100;0:11.70;0.5;Bhatt;Rakeshbhai;IND;2001;IND;New Delhi;2026-03-11;Male;Outdoor
WL;;MT38;100;0:10.92;1.3;Medrano;Ryan;USA;1997;USA;San Diego;2026-03-20;Male;Outdoor
WL;;MT42;100;0:21.24;1.3;Mantra;Lokesh;IND;2006;IND;New Delhi;2026-03-11;Male;Outdoor
WL;;MT44;100;0:11.54;0.2;Hannah;Ryan;GBR;1994;UAE;Dubai;2026-02-11;Male;Outdoor
WL;;MT46;100;0:10.94;1.1;Gavit;Dilip Mahadu;IND;2003;UAE;Dubai;2026-02-11;Male;Outdoor
WL;;MT47;100;0:10.87;2.0;Page;Jaydon;AUS;2004;AUS;Perth;2026-02-14;Male;Outdoor
WL;;MT51;100;0:20.32;0.3;Fournie;Cody;CAN;1989;CAN;Victoria;2026-03-29;Male;Outdoor
WL;;MT52;100;0:17.03;0.3;McIntosh;Sam;AUS;1990;AUS;Canberra;2026-01-21;Male;Outdoor
WL;;MT54;100;0:14.27;0.7;Carter;Samuel;AUS;1991;AUS;Canberra;2026-01-21;Male;Outdoor
WL;;MT62;100;0:11.47;-1.1;Daniels;Paul;RSA;2002;RSA;Stellenbosch;2026-03-30;Male;Outdoor
WL;;MT63;100;0:12.23;-1.1;Mabote;Puseletso Michael;RSA;2005;RSA;Stellenbosch;2026-03-30;Male;Outdoor
WL;;MT64;100;0:11.29;0.8;Oshima;Kengo;JPN;2000;JPN;Tokyo;2026-03-22;Male;Outdoor
WL;;MT72;100;0:20.78;-0.3;Mattinson;Thomas;AUS;2009;AUS;Canberra;2026-01-22;Male;Outdoor
WL;;MT12;200;0:22.80;0.1;Makatu;Masala;RSA;2006;RSA;Stellenbosch;2026-03-29;Male;Outdoor
WL;;MT13;200;0:22.01;0.2;Perris;Chad;AUS;1992;AUS;Canberra;2026-01-26;Male;Outdoor
WL;;MT34;200;0:27.25;0.1;Arshid;Ali Radi;QAT;2004;OMA;Muscat;2026-02-04;Male;Outdoor
WL;;MT35;200;0:26.23;0.2;Fairweather;Jordan;AUS;2004;AUS;Canberra;2026-01-26;Male;Outdoor
WL;;MT36;200;0:27.09;0.4;McKillop;Alexander;AUS;2001;AUS;Hobart;2026-03-21;Male;Outdoor
WL;;MT37;200;0:23.95;0.2;Allen;Samuel;AUS;2007;AUS;Canberra;2026-01-26;Male;Outdoor
WL;;MT38;200;0:22.86;1.6;Muller;Ullrich;AUS;2006;AUS;Brisbane;2026-03-15;Male;Outdoor
WL;;MT44;200;0:23.82;-0.8;Hannah;Ryan;GBR;1994;UAE;Dubai;2026-02-10;Male;Outdoor
WL;;MT46;200;0:22.71;1.6;Juft;Nader;IRQ;2002;OMA;Muscat;2026-02-04;Male;Outdoor
WL;;MT47;200;0:22.55;1.5;Best;Korban;USA;2003;USA;San Diego;2026-03-13;Male;Outdoor
WL;;MT51;200;0:37.60;1.4;Habsch;Roger;BEL;1979;UAE;Dubai;2026-02-12;Male;Outdoor
WL;;MT53;200;0:29.72;-1.5;Alqurashi;Abdulrahman;KSA;1997;OMA;Muscat;2026-02-04;Male;Outdoor
WL;;MT54;200;0:27.39;0.2;Vahdani;Mohammad;UAE;1979;OMA;Muscat;2026-02-04;Male;Outdoor
WL;;MT64;200;0:23.40;0.9;Oshima;Kengo;JPN;2000;JPN;Tokyo;2026-03-21;Male;Outdoor
WL;;MT72;200;0:39.34;1.6;Mattinson;Thomas;AUS;2009;AUS;Canberra;2026-01-23;Male;Outdoor
WL;;MT11;400;0:54.07;;Descarrega Puigdevall;Gerard;ESP;1994;ESP;Segovia;2026-03-14;Male;Outdoor
WL;;MT12;400;0:51.37;;Tisuwan;Kissanapong;THA;1999;UAE;Dubai;2026-02-13;Male;Outdoor
WL;;MT13;400;0:50.54;;Marzillier;Max;GER;2001;RSA;Stellenbosch;2026-03-31;Male;Outdoor
WL;;MT20;400;0:49.20;;Makarov;Sergei;RUS;2003;IND;New Delhi;2026-03-12;Male;Outdoor
WL;;MT34;400;0:49.54;;McCracken;Rheed;AUS;1997;AUS;Canberra;2026-01-25;Male;Outdoor
WL;;MT35;400;0:57.79;;Villa;Maximiliano;ARG;2007;ARG;Buenos Aires;2026-04-11;Male;Outdoor
WL;;MT36;400;1:03.53;;;Chirag;IND;2001;UAE;Dubai;2026-02-10;Male;Outdoor
WL;;MT37;400;0:53.39;;Suarez Cardona;Yeferson;COL;2002;UAE;Dubai;2026-02-10;Male;Outdoor
WL;;MT38;400;0:50.76;;Ramirez Estrada;Jose Albeiro;COL;1996;COL;Cali;2026-02-27;Male;Outdoor
WL;;MT44;400;0:55.58;;Alsana;Nour;KSA;1984;OMA;Muscat;2026-02-03;Male;Outdoor
WL;;MT46;400;0:49.15;;Gavit;Dilip Mahadu;IND;2003;UAE;Dubai;2026-02-12;Male;Outdoor
WL;;MT47;400;0:49.89;;Bharwad;Bhavikkumar Dineshbhai;IND;2004;IND;New Delhi;2026-03-12;Male;Outdoor
WL;;MT52;400;0:54.81;;Carabin;Maxime;BEL;2000;UAE;Dubai;2026-02-11;Male;Outdoor
WL;;MT53;400;0:51.57;;Khelifi;Mohamed Nidhal;TUN;1996;UAE;Dubai;2026-02-11;Male;Outdoor
WL;;MT54;400;0:45.95;;Gharbi;Yassine;TUN;1990;UAE;Dubai;2026-02-11;Male;Outdoor
WL;;MT62;400;0:51.67;;Daniels;Paul;RSA;2002;RSA;Stellenbosch;2026-03-31;Male;Outdoor
WL;;MT63;400;1:00.74;;Mabote;Puseletso Michael;RSA;2005;RSA;Stellenbosch;2026-03-31;Male;Outdoor
WL;;MT72;400;1:25.00;;Althagafi;Abdulrahman;KSA;2006;UAE;Dubai;2026-02-13;Male;Outdoor
WL;;MT11;800;2:20.39;;Olaso Hernandez;Ander;ESP;2007;ESP;Segovia;2026-03-15;Male;Outdoor
WL;;MT20;800;1:54.26;;Voloshin;Vladilen;RUS;2000;IND;New Delhi;2026-03-13;Male;Outdoor
WL;;MT33;800;2:47.00;;Yasuno;Yuhei;JPN;1990;JPN;Miyazaki;2026-03-20;Male;Outdoor
WL;;MT34;800;1:44.35;;McCracken;Rheed;AUS;1997;AUS;Canberra;2026-01-22;Male;Outdoor
WL;;MT37;800;2:23.72;;Reeve;Leopold;AUS;2007;AUS;Melbourne;2026-03-21;Male;Outdoor
WL;;MT38;800;1:52.07;;Langdon;Reece;AUS;1996;AUS;Melbourne;2026-03-05;Male;Outdoor
WL;;MT46;800;1:48.80;;Upshaw;Tahmar;USA;2004;USA;Asuza;2026-04-17;Male;Outdoor
WL;;MT53;800;1:45.14;;Khelifi;Mohamed Nidhal;TUN;1996;UAE;Dubai;2026-02-12;Male;Outdoor
WL;;MT54;800;1:36.90;;Gharbi;Yassine;TUN;1990;UAE;Dubai;2026-02-12;Male;Outdoor
WL;;MT11;1K5;4:13.90;;Karasawa;Kenya;JPN;1994;USA;Walnut;2026-04-18;Male;Outdoor
WL;;MT12;1K5;4:15.74;;Marisavljevic;Darko;SRB;2001;IND;New Delhi;2026-03-11;Male;Outdoor
WL;;MT13;1K5;4:05.76;;Short;William;AUS;2007;AUS;Melbourne;2026-03-05;Male;Outdoor
WL;;MT20;1K5;3:50.45;;Toda;Natsuki;JPN;2004;JPN;Kumamoto;2026-04-11;Male;Outdoor
